barcode ,,row ,tiller count,gs39,   gs55,GS65,flag leaf senescence,plant wt,stem ht,top internodeL,tiller no,1? earLength,2nd ear L,3rd ear L,1?fg lf L,1?ear wt,other ear wt,disease_score1,disease_score2
W8-117112,MEL 107-1a,G6,>,130,140,150,185,71,48,27.5,23,10.5,10,10,31.5,3.36,40.7,1,1
W8-118111,MEL 108-1,F3,>,130,140,150,196,56,44.5,25,20,10,9,9.5,33.5,3.31,29.2,0,0
W8-118112,MEL 108-1,C7,<,127,138,152,193,66,40,26.5,22,9,9.5,10,36.5,2.80,36.8,0,0
W8-119111,MEL 109-1,E2,<,120,127,136,171,78,55.5,28.5,25,10,10.5,9.5,28.5,3.72,43.7,1,1
W8-119112,MEL 109-1,A6,<,116,122,131,171,54,45,26.5,18,9.5,9,9.5,29,2.47,29.6,0,0
W8-120111,MEL 110-1a,E3,>,130,144,158,182,68,48,31,24,10.5,10.5,10,35.5,2.73,34.6,1,1
W8-120112,MEL 110-1a,B7,>,127,140,152,178,76,46.5,31,23,10.5,10,11,34,2.99,40.1,1,1
W8-121111,MEL 111-1,G2,>,137,148,,193,16,59,25,5,10,9.5,10,13.5,1.26,2.3,2,1
W8-121112,MEL 111-1,C6,>,127,136,152,178,60,58.5,27.5,14,12,11,11.5,23.5,5.25,28.6,2,2
W8-122111,MEL 112-1a,G1,11,127,139,154,180,78,52,35.5,16,13,13,13,46.5,3.64,38.5,1,1
W8-122112,MEL 112-1a,C5,>,127,133,,166,30,46,26,8,12.5,12,10.5,23,3.38,13.7,1,1
W8-123111,MEL 113-1a,G2,<,130,141,150,160,74,50,29.5,16,9.5,9,9,42,3.29,28.5,2,2
W8-123112,MEL 113-1a,C6,>,127,133,143,160,58,47,32,17,10,10,9.5,36.5,3.35,31.5,2,3
W8-124111,MEL 114-1,E1,15,123,134,143,178,78,46,27.5,13,10.5,11,11,37.5,3.98,43.0,0,0
W8-124112,MEL 114-1,B5,>,123,133,145,175,78,59,34,12,10,9.5,10,38,4.45,39.8,2,2
W8-125111,MEL 115-1,D1,11,130,139,150,171,100,68.5,39,18,11.5,11.5,11,35,5.13,47.5,0,1
W8-125112,MEL 115-1,G4,<,137,147,158,194,92,77.5,37,14,10,11,10,30,4.68,36.0,1,1
W8-126111,MEL 116-2,A3,>,120,130,136,160,66,59,28.5,13,10.5,10,10,38,3.22,34.6,3,4
W8-126112,MEL 116-2,D6,>,125,129,143,150,60,56,28,11,7,10.5,9.5,35.5,1.90,29.5,4,4
W8-127111,MEL 117-2,B3,<,116,120,129,160,70,58,29,20,10.5,12,11.5,29,3.92,40.0,1,1
